"","ID","toID","GNIS_ID","QA_MA","Index"
"1",174,176,"581558",2192.943,1
"2",133,174,"575945",1167.005,1
"3",199,198,"581558",6159.386,2
"4",1,199,"561174",1693.744,2
"5",200,199,"581558",4461.845,2
"6",211,209,"581558",8658.336,3
"7",52,211,"566220",1226.815,3
"8",182,211,"581558",7430.311,3
"9",287,288,"578079",1873.815,4
"10",285,287,"563704",352.52,4
"11",286,287,"578079",1441.751,4
"12",348,349,"570917",825.15,5
"13",350,348,"578065",565.245,5
"14",428,427,"573182",11165.34,6
"15",367,428,"573447",2707.953,6
"16",430,428,"573182",8456.474,6
"17",437,436,"573182",5300.019,7
"18",238,437,"578079",3532.053,7
"19",305,437,"565563",1759.809,7
"20",457,442,"573182",7984.076,8
"21",365,457,"570917",2422.525,8
"22",435,457,"573182",5545.741,8
"23",538,537,"569110",9275.278,9
"24",539,538,"575164",1523.396,9
"25",561,538,"569110",7413.985,9
"26",577,574,"569110",6825.841,10
"27",579,577,"569110",5648.032,10
"28",587,577,"574891",1177.551,10
"29",612,613,"569110",4198.37,11
"30",470,612,"569110",2653.722,11
"31",514,612,"564882",1531.084,11
"32",646,645,"580918",1917.14,12
"33",649,646,"574044",886.916,12
"34",792,787,"569110",16714.815,13
"35",793,792,"569110",10105.521,13
"36",795,792,"580918",6608.629,13
"37",888,889,"619363",2041.603,14
"38",870,888,"872478",1996.775,14
"39",1104,1105,"206425",14255.355,15
"40",1106,1104,"206425",12665.432,15
"41",1124,1104,"1460788",1578.827,15
"42",1212,1214,"210826",2386.908,16
"43",1209,1212,"210057",1389.68,16
"44",1215,1212,"210826",993.532,16
"45",1233,1231,"211397",2593.435,17
"46",1213,1233,"210826",2397.23,17
"47",1289,2914,"1460117",1596.381,18
"48",2913,1289,"1458502",1594.996,18
"49",1402,1380,"970226",5400.14,19
"50",1290,1402,"970226",3148.899,19
"51",1337,1402,"970554",2245.534,19
"52",1403,1404,"970226",14290.641,20
"53",1401,1403,"970226",8372.748,20
"54",1405,1403,"970360",5904.703,20
"55",1447,1445,"970360",2569.421,21
"56",1448,1447,"969161",1344.635,21
"57",1493,1447,"970360",1220.605,21
"58",1624,1623,"217887",2714.821,22
