"","G_ID","R_ID","Gauge_pvalue","Remote_pvalue","Gauge_TAU","Remote_TAU","Median_TP","Gauge_Trend_Type","Remote_Trend_Type","Year","Correlation"
"1","1119USBR_WQX-AFE123",31445,0.13312848419606,1,-0.523809523809524,-0.0476190476190476,0.0786071428571429,"Decreasing","Decreasing",7,0.452471397694852
"2","1119USBR_WQX-BLA101",31682,0.76389059347054,0.22955621387892,-0.142857142857143,-0.428571428571429,0.034,"Decreasing","Decreasing",7,-0.144787002015178
"3","1119USBR_WQX-EMM025",31674,0.275757847827509,0.755496874928883,-0.272727272727273,-0.0909090909090909,0.0477083333333333,"Decreasing","Decreasing",11,0.335593385381973
"4","21GAEPD_WQX-RV_01_109",4448,0.587642595497842,0.133361376768543,0.0771431720135896,-0.207977207977208,0.1125,"Increasing","Decreasing",27,-0.156950155312897
"5","21GAEPD_WQX-RV_01_87",4392,0.4127808038097,0.0130433713952793,-0.126732921739135,-0.375494071146245,0.1175,"Decreasing","Decreasing",23,0.0932072260989608
"6","21GAEPD_WQX-RV_01_94",4365,1,1,0.333333333333333,-0.333333333333333,0.1025,"Increasing","Decreasing",3,-0.257568764851209
"7","21GAEPD_WQX-RV_01_96",4401,0.80649594050734,0.462432726450476,0.2,-0.4,0.109166666666667,"Increasing","Decreasing",5,-0.0802081306005463
"8","21GAEPD_WQX-RV_02_310",4472,0.462432726450476,0.220671361919847,0.4,0.6,0.108333333333333,"Increasing","Increasing",5,0.983997969028981
"9","21GAEPD_WQX-RV_03_502",4501,0.367520738242143,0.548005572361309,-0.333333333333333,0.238095238095238,0.240416666666667,"Decreasing","Increasing",7,-0.292043250689467
"10","21GAEPD_WQX-RV_03_603",4579,0.0274863361115103,0.0864107329737,-1,-0.8,0.0375,"Decreasing","Decreasing",5,0.757777702437179
"11","21GAEPD_WQX-RV_03_606",4574,0.0241705471745452,0.707114231289961,-0.866666666666667,-0.2,0.0555833333333333,"Decreasing","Decreasing",6,0.692909448372891
"12","21GAEPD_WQX-RV_03_640",4551,0.87987910365772,0.739763807728124,0.0287084625881607,-0.0571428571428571,0.0983333333333333,"Increasing","Decreasing",21,0.130483898003661
"13","21GAEPD_WQX-RV_03_653",4547,0.308179547467054,0.734095182319476,0.666666666666667,-0.333333333333333,0.0688958333333333,"Increasing","Decreasing",4,-0.149585053576834
"14","21GAEPD_WQX-RV_03_654",4538,1,1,-0.333333333333333,-0.333333333333333,0.0658333333333333,"Decreasing","Decreasing",3,-0.102286865380819
"15","21GAEPD_WQX-RV_05_2165",4614,0.787615766702206,0.858027656987521,-0.0898933149950989,-0.0666666666666667,0.0379166666666667,"Decreasing","Decreasing",10,-0.22096649155662
"16","21GAEPD_WQX-RV_05_2167",4639,0.548005572361309,0.76389059347054,-0.238095238095238,-0.142857142857143,0.0466666666666667,"Decreasing","Decreasing",7,0.609749675352235
"17","21GAEPD_WQX-RV_05_2203",4696,0.0763327403763572,0.916965236628864,-0.5,0.0555555555555556,0.095,"Decreasing","Increasing",9,-0.19000152159375
"18","21GAEPD_WQX-RV_05_2222",4667,1,1,0.333333333333333,0.333333333333333,0.0575,"Increasing","Increasing",3,0.998417707925695
"19","21GAEPD_WQX-RV_05_2223",4654,0.960421961844121,0.47193904041631,-0.0108893101296094,-0.108695652173913,0.0733333333333333,"Decreasing","Decreasing",24,0.173555446685738
"20","21GAEPD_WQX-RV_06_2840",4759,1,1,0.333333333333333,0.333333333333333,0.0733333333333333,"Increasing","Increasing",3,0.998065200091794
"21","21GAEPD_WQX-RV_06_2844",4779,0.0274863361115103,0.220671361919847,1,0.6,0.0613333333333333,"Increasing","Increasing",5,0.826191046104202
"22","21GAEPD_WQX-RV_06_2846",4777,0.217377271236596,0.721176307474874,0.205805465729924,0.0631578947368421,0.0852083333333333,"Increasing","Increasing",20,-0.331004609725694
"23","21GAEPD_WQX-RV_06_2852",4740,0.80649594050734,0.0274863361115103,-0.2,1,0.0708333333333333,"Decreasing","Increasing",5,-0.395912498596922
"24","21GAEPD_WQX-RV_07_3004",4800,0.308179547467054,0.734095182319476,0.666666666666667,0.333333333333333,0.1971875,"Increasing","Increasing",4,0.921534690165001
"25","21KAN001_WQX-SC003",21747,0.734095182319476,0.308179547467054,-0.333333333333333,-0.666666666666667,0.307083333333333,"Decreasing","Decreasing",4,-0.152141238253255
"26","21KAN001_WQX-SC036",23502,0.0711267274899405,0.194595140496186,-0.281385281385281,-0.203463203463203,0.153875,"Decreasing","Decreasing",22,0.106874454635933
"27","21KAN001_WQX-SC098",24238,0.114961000967301,0.123715178751739,0.27059291687297,0.263157894736842,0.172083333333333,"Increasing","Increasing",19,0.167333856830028
"28","21KAN001_WQX-SC214",24286,1,0.191670591422755,0,-0.25,0.1763125,"Increasing","Decreasing",16,0.111386325907886
"29","21KAN001_WQX-SC215",24073,0.892558465851561,0.392314347285355,-0.0333333333333333,-0.166666666666667,0.156,"Decreasing","Decreasing",16,-0.0164526023746376
"30","21KAN001_WQX-SC218",23469,0.0420851932928949,0.0240810051773448,0.318089582916401,-0.350649350649351,0.51375,"Increasing","Decreasing",22,0.00338879605976305
"31","21KAN001_WQX-SC232",22042,0.0274863361115103,0.220671361919847,1,0.6,0.53875,"Increasing","Increasing",5,0.652556924073374
"32","21KAN001_WQX-SC240",21984,1,0.452370360677361,-0.0666666666666667,-0.333333333333333,0.532708333333333,"Decreasing","Decreasing",6,0.309521020443117
"33","21KAN001_WQX-SC250",21920,1,0.296269871484286,-0.333333333333333,-1,0.307738095238095,"Decreasing","Decreasing",3,0.572946083820106
"34","21KAN001_WQX-SC254",21928,0.310046020853823,0.175895749022767,-0.16017316017316,-0.212121212121212,0.3525,"Decreasing","Decreasing",22,0.668605269712184
