"","MonitoringLocationIdentifier","lat","lon"
"1","1119USBR_WQX-AFE101",42.7708333,-112.8805556
"2","1119USBR_WQX-AFE110",42.9241667,-112.8105556
"3","1119USBR_WQX-AFE111",43.0588889,-112.6897222
"4","1119USBR_WQX-AFE114",43.0433333,-112.5536111
"5","1119USBR_WQX-AFE119",43.1270833,-112.5214167
"6","1119USBR_WQX-AFE120",43.13058,-112.47674
"7","1119USBR_WQX-AFE121",43.4122,-112.123
"8","1119USBR_WQX-AFE123",42.7683333,-112.8783333
"9","1119USBR_WQX-AFE124",43.0341667,-112.6385
"10","1119USBR_WQX-AFE126",42.8006667,-112.8075
"11","1119USBR_WQX-AFE130",42.885,-112.6413889
"12","1119USBR_WQX-AFE132",43.0397222,-112.5416667
"13","1119USBR_WQX-AFE200",43.2935277,-112.2207222
"14","1119USBR_WQX-AND004",43.3583333,-115.4444444
"15","1119USBR_WQX-AND101",43.3583333,-115.4444444
"16","1119USBR_WQX-BLA101",43.9323,-116.3356
"17","1119USBR_WQX-BOI008",43.5791667,-116.7416667
"18","1119USBR_WQX-BOI023",43.5111111,-116.575
"19","1119USBR_WQX-BOI024",43.5097222,-116.5736111
"20","1119USBR_WQX-BOI025",43.5083333,-116.5722222
"21","1119USBR_WQX-BOI130",43.4843278,-115.3068639
"22","1119USBR_WQX-BOI131",43.4175,-115.27867
"23","1119USBR_WQX-BOI134",43.43051,-115.38435
"24","1119USBR_WQX-BOI140",43.4848056,-116.3833333
"25","1119USBR_WQX-BOI142",43.5238722,-116.4523806
"26","1119USBR_WQX-BOI165",43.55994,-116.121
"27","1119USBR_WQX-BOI166",43.56061,-116.123
"28","1119USBR_WQX-BOI170",43.6501722,-115.7427778
"29","1119USBR_WQX-BOI172",43.5503472,-115.7205361
"30","1119USBR_WQX-BOI180",43.5825,-116.6983333
"31","1119USBR_WQX-BOI181",43.5541667,-116.6616667
"32","1119USBR_WQX-BOI182",43.5330556,-116.62
"33","1119USBR_WQX-BOI184",43.5705556,-116.7222222
"34","1119USBR_WQX-BOI320",43.6303611,-116.4323611
"35","1119USBR_WQX-BOI330",43.5730833,-116.7463056
"36","1119USBR_WQX-BOI336",43.5391944,-116.6916111
"37","1119USBR_WQX-BOI338",43.5241944,-116.63425
"38","1119USBR_WQX-BOI340",43.5163611,-116.6169722
"39","1119USBR_WQX-BOI342",43.51025,-116.5913611
"40","1119USBR_WQX-BOI600",43.5702778,-116.7480556
"41","1119USBR_WQX-BUR001",44.5055556,-118.1833333
"42","1119USBR_WQX-CBP011",47.0102778,-119.1391667
"43","1119USBR_WQX-CBP036",46.8482222,-119.5794722
"44","1119USBR_WQX-CBP072",46.8152778,-119.9233333
"45","1119USBR_WQX-CBP079",46.8958333,-119.3027778
"46","1119USBR_WQX-CBP094",47.0388889,-119.9416667
"47","1119USBR_WQX-CBP095",47.0333333,-119.95
"48","1119USBR_WQX-CBP100",46.2166667,-119.1166667
"49","1119USBR_WQX-CBP102",47.25,-119.9833333
"50","1119USBR_WQX-CBP111",47.3605556,-118.8488889
"51","1119USBR_WQX-CBP161",47.1359722,-119.2777222
"52","1119USBR_WQX-CLD101",43.5032333,-121.9723556
"53","1119USBR_WQX-CRO101",44.2986111,-120.7275
"54","1119USBR_WQX-CRO128",44.1083333,-120.7875
"55","1119USBR_WQX-CRO139",44.165663,-119.918239
"56","1119USBR_WQX-CRO140",44.10952,-119.99915
"57","1119USBR_WQX-CRO141",44.09907,-120.04655
"58","1119USBR_WQX-CRO142",44.11457,-120.15085
"59","1119USBR_WQX-CRO143",44.11684,-120.24586
"60","1119USBR_WQX-CRO144",44.1304,-120.38485
"61","1119USBR_WQX-CRO145",44.14479,-120.46635
"62","1119USBR_WQX-CRO146",44.11506,-120.12483
"63","1119USBR_WQX-CRO147",44.11865,-120.26407
"64","1119USBR_WQX-CRO148",44.15199,-120.46802
"65","1119USBR_WQX-CRO149",44.17867,-120.65542
"66","1119USBR_WQX-CRO150",44.32272,-120.88353
"67","1119USBR_WQX-CRO151",44.29892,-120.72905
"68","1119USBR_WQX-CRO152",44.30135,-120.82665
"69","1119USBR_WQX-CRO153",44.33022,-120.89326
"70","1119USBR_WQX-CRO154",44.40929,-120.8124
"71","1119USBR_WQX-CRO155",44.31794,-120.66532
"72","1119USBR_WQX-CRO156",44.35093,-120.6696
"73","1119USBR_WQX-CRO157",44.367,-120.7833
"74","1119USBR_WQX-CRO158",44.21913,-120.87498
"75","1119USBR_WQX-CRO159",44.28421,-120.84183
"76","1119USBR_WQX-CRO160",44.32372,-120.89679
"77","1119USBR_WQX-CRO161",44.33686,-120.927
"78","1119USBR_WQX-CRO162",44.34371,-120.01379
"79","1119USBR_WQX-CRO163",44.34881,-120.08219
"80","1119USBR_WQX-CRO164",44.32066,-121.1281
"81","1119USBR_WQX-CRO165",44.329524,-120.89226
"82","1119USBR_WQX-CRO166",44.11435,-120.24224
"83","1119USBR_WQX-CRO167",44.34833,-120.94716
"84","1119USBR_WQX-CRO168",44.30215,-120.63333
"85","1119USBR_WQX-CRO169",44.111247,-120.795649
"86","1119USBR_WQX-CRO170",44.156302,-120.31654
"87","1119USBR_WQX-CRO171",44.173892,-120.494614
"88","1119USBR_WQX-CRO173",44.037194,-120.70467
"89","1119USBR_WQX-CRO190",44.26194,-120.98269
"90","1119USBR_WQX-CRO302",44.3466667,-120.9475
"91","1119USBR_WQX-CSP106",44.29191,-115.64481
"92","1119USBR_WQX-CSP108",42.6337,-113.612
"93","1119USBR_WQX-CSP110",42.72,-112.93397
"94","1119USBR_WQX-CSP120",44.2430556,-116.9569444
"95","1119USBR_WQX-CWDC01",44.6374167,-116.1281111
"96","1119USBR_WQX-CWDC05",44.6342778,-116.122
"97","1119USBR_WQX-CWDN01",44.6399444,-116.1216667
"98","1119USBR_WQX-CWDN05",44.6391667,-116.1161667
"99","1119USBR_WQX-CWHC01",44.6208056,-116.049
"100","1119USBR_WQX-CWHC03",44.6215556,-116.0499722
"101","1119USBR_WQX-CWHC05",44.62175,-116.0520833
