field_1,MonitoringLocationIdentifier,lat,lon
"18848",MEDEP_WQX-64513,47.083146,-69.059134
"19087",MEDEP_WQX-80286,47.252914,-68.589971
"18720",MEDEP_WQX-64340,47.124987,-68.573109
"18525",MEDEP_WQX-109991,46.773959,-67.833499
"18533",MEDEP_WQX-110051,46.800759,-67.865259
"18617",MEDEP_WQX-58786,46.8271,-67.928034
"19101",MEDEP_WQX-81148,46.8271,-67.928034
"18507",MEDEP_WQX-102428,46.833209,-67.931323
"18532",MEDEP_WQX-110050,46.850654,-67.954884
"18531",MEDEP_WQX-110049,46.847424,-68.000618
"18530",MEDEP_WQX-110048,46.814863,-67.984853
"18529",MEDEP_WQX-110047,46.776075,-67.969139
"18646",MEDEP_WQX-59647,46.700898,-67.965943
"19097",MEDEP_WQX-81111,46.700898,-67.965943
"18501",MEDEP_WQX-101446,46.700898,-67.965943
"18528",MEDEP_WQX-110046,46.713563,-68.018737
"19102",MEDEP_WQX-81149,46.713387,-68.018693
"18645",MEDEP_WQX-59644,46.713387,-68.018693
"18527",MEDEP_WQX-110045,46.755978,-68.115486
"18526",MEDEP_WQX-110044,46.77621,-68.154768
"19105",MEDEP_WQX-81283,46.576083,-68.407563
"18690",MEDEP_WQX-64304,46.503798,-68.363153
"18863",MEDEP_WQX-64530,47.247756,-68.605312
"22412",USGS-01015000,47.1598056,-67.9311694
"18719",MEDEP_WQX-64339,47.35441,-68.272264
"18938",MEDEP_WQX-71369,45.642033,-68.642692
"18939",MEDEP_WQX-71370,45.632285,-68.606692
"18940",MEDEP_WQX-71372,45.607412,-68.545532
"18937",MEDEP_WQX-71368,45.638474,-68.727248
"18915",MEDEP_WQX-71333,45.622489,-68.539219
"18871",MEDEP_WQX-64538,45.860439,-68.623442
"18917",MEDEP_WQX-71335,45.518731,-68.353719
"18921",MEDEP_WQX-71339,45.239785,-68.659077
"18769",MEDEP_WQX-64403,45.206452,-69.111341
"18694",MEDEP_WQX-64310,45.185621,-69.168038
"18577",MEDEP_WQX-57817,45.185621,-69.168038
"18890",MEDEP_WQX-64701,45.185621,-69.168038
"18691",MEDEP_WQX-64305,45.171981,-69.347864
"18576",MEDEP_WQX-57739,45.171981,-69.347864
"18685",MEDEP_WQX-60370,45.187712,-69.447682
"18876",MEDEP_WQX-64543,45.187712,-69.447682
"18932",MEDEP_WQX-71362,44.687081,-68.819458
"18931",MEDEP_WQX-71360,44.720427,-68.832662
"18930",MEDEP_WQX-71357,44.767274,-68.7878
"18924",MEDEP_WQX-71344,44.810429,-68.740908
"18928",MEDEP_WQX-71352,44.958341,-68.646636
"18927",MEDEP_WQX-71348,45.250199,-68.648885
"18925",MEDEP_WQX-71346,45.43252,-68.45924
"18923",MEDEP_WQX-71343,44.832435,-68.700442
"22441",USGS-01036390,44.8266667,-68.6966667
"18933",MEDEP_WQX-71364,44.638249,-68.836931
"18649",MEDEP_WQX-59703,44.885326,-68.657426
"18922",MEDEP_WQX-71340,45.570248,-68.409212
"18886",MEDEP_WQX-64553,44.378164,-69.729031
"22445",USGS-01049265,44.4722222,-69.6838889
"19089",MEDEP_WQX-80618,44.539674,-69.6229259
"18597",MEDEP_WQX-58466,44.577989,-69.556831
"18710",MEDEP_WQX-64327,44.577989,-69.556831
"19088",MEDEP_WQX-80617,44.570441,-69.563354
"18590",MEDEP_WQX-58338,44.7769023,-69.3652712
"18727",MEDEP_WQX-64347,44.780185,-69.887208
"18801",MEDEP_WQX-64447,45.03611,-69.867575
"18802",MEDEP_WQX-64448,45.033278,-69.864577
"18795",MEDEP_WQX-64441,44.656354,-70.142402
"18773",MEDEP_WQX-64413,44.6488305,-70.1318022
"18644",MEDEP_WQX-59576,44.6488305,-70.1318022
"18892",MEDEP_WQX-64826,44.638882,-70.013708
"18796",MEDEP_WQX-64442,44.6388816,-70.0137079
"22442",USGS-01047820,44.6385556,-70.0223694
"19123",MEDEP_WQX-87295,43.9576,-70.0251
"19126",MEDEP_WQX-87298,43.9967,-70.0771
"19127",MEDEP_WQX-87299,44.0138,-70.1667
"19128",MEDEP_WQX-87300,44.0664,-70.2069
"18618",MEDEP_WQX-58960,44.5321066,-70.4706873
"19124",MEDEP_WQX-87296,43.9361,-69.8911
"22447",USGS-01059400,43.9175799,-69.9731058
"19118",MEDEP_WQX-87045,43.9155,-69.9773
"19119",MEDEP_WQX-87046,43.9231,-69.955
"19129",MEDEP_WQX-87305,44.1076,-70.2222
"19130",MEDEP_WQX-87306,44.1372,-70.2005
"22434",USGS-01021050,45.17,-67.2966667
"19032",MEDEP_WQX-78855,44.71236,-67.458327
"19034",MEDEP_WQX-78866,44.72497,-67.524249
"19031",MEDEP_WQX-78853,44.813647,-67.724137
"22450",USGS-01066000,43.8080556,-70.7816667
"22484",USGS-01100000,42.6459246,-71.2983937
"22643",USGS-01129500,44.7497717,-71.6312002
"22649",USGS-01138500,44.1533969,-72.0417577
"22644",USGS-01131500,44.4100591,-71.7206438
"22658",USGS-01144500,43.6461819,-72.3123134
"22680",USGS-01167305,42.5805556,-72.5797222
"22672",USGS-01161280,42.6833333,-72.4719444
"22689",USGS-01170490,42.5697222,-72.5922222
"22686",USGS-01170006,42.5267532,-72.6325895
"22681",USGS-01168160,42.6531392,-72.954821
"22625",USGS-01127000,41.5974917,-71.9840944
"22622",USGS-01126720,41.6514874,-71.9706299
"22619",USGS-01126113,41.798432,-71.886461
"22618",USGS-01126111,41.802043,-71.8870165
"22623",USGS-01126890,41.6112095,-71.9842415
"22609",USGS-011230695,41.5700028,-72.0462444
"22607",USGS-01122610,41.6823208,-72.1659111
"22779",USGS-01205500,41.3838028,-73.1666389
"22771",USGS-01198550,42.004815,-73.3570628
"22773",USGS-01200600,41.5931499,-73.4495669
"7780",21MSWQ_WQX-113A23,30.188238,-89.527359
"8772",21NYDECA_WQX-11040247,43.6617,-73.8986
"22818",USGS-01312000,43.9666667,-74.1316667
"22804",USGS-01311951,43.9584167,-74.09375
"8767",21NYDECA_WQX-11010215,43.2486111,-73.8325
"8766",21NYDECA_WQX-11010157,42.7886111,-73.6741667
"22828",USGS-01335770,42.7886889,-73.6740069
"22822",USGS-01325010,43.3047936,-73.8329001
"22878",USGS-01354083,42.934,-74.1918611
"22859",USGS-01349530,42.9503514,-74.3690239
"22851",USGS-01348065,42.9941972,-74.6795694
"22839",USGS-01342702,43.0433389,-75.0621194
"22836",USGS-01341140,43.1119444,-75.2141667
"22830",USGS-01336510,43.2181944,-75.4314722
"8776",21NYDECA_WQX-12010001,42.7783333,-73.6966667
"22844",USGS-01346000,43.0688889,-74.9883333
"22831",USGS-01336523,43.2009028,-75.44823
"22957",USGS-01371500,41.6861389,-74.1652778
"14842",42SRBCWQ_WQX-SUSQ340.0-4275,42.03654,-75.80322
"23080",USGS-01503000,42.0352778,-75.8030556
"23079",USGS-01502771,41.9634112,-75.7421312
"13192",21PA_WQX-WQN0306,41.9636,-75.7417
"14844",42SRBCWQ_WQX-SUSQ345.0-4175,41.956346,-75.699934
"12730",21PA_WQX-GB6,41.9561,-75.7053
"12729",21PA_WQX-GB5,41.9561,-75.7053
"12728",21PA_WQX-GB4,41.9561,-75.7053
"12727",21PA_WQX-GB3,41.9564,-75.7047
"14846",42SRBCWQ_WQX-SUSQ356.0-4175A,41.9611111,-75.6619444
"14847",42SRBCWQ_WQX-SUSQ356.0-4175B,41.9572222,-75.5911111
"14845",42SRBCWQ_WQX-SUSQ353.0-4175,41.964203,-75.590535
"14849",42SRBCWQ_WQX-SUSQ383.0-4275,42.210921,-75.535614
"14850",42SRBCWQ_WQX-SUSQ384.0-4275,42.2269444,-75.5238889
"14852",42SRBCWQ_WQX-SUSQ395.5-4275,42.3175,-75.3938889
"23066",USGS-01500500,42.3215,-75.3163889
"14853",42SRBCWQ_WQX-SUSQ406.0-4275,42.3666667,-75.245
"14848",42SRBCWQ_WQX-SUSQ365.0-4275,42.07435,-75.6367
"14840",42SRBCWQ_WQX-SUSQ334.5-4275,42.0944444,-75.8391667
